"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #19","2020-01-17T16:03:00Z","blue","2381Z","2142E","None","None","14","4344X","10102X","None","None","19"
"Qualifier #20","2020-01-17T16:06:30Z","blue","785Z","9909D","None","None","4","404X","41364A","None","None","23"
"Qualifier #21","2020-01-17T16:10:00Z","blue","4180B","785B","None","None","23","369A","1353X","None","None","60"
"Qualifier #22","2020-01-17T16:13:30Z","red","3303D","4478D","None","None","83","169Y","10102A","None","None","48"
"Qualifier #23","2020-01-17T16:17:00Z","blue","375X","10102Z","None","None","19","2602A","285Z","None","None","30"
"Qualifier #24","2020-01-17T16:20:30Z","red","6277B","63857D","None","None","31","7121D","62A","None","None","18"
"Qualifier #25","2020-01-17T16:24:00Z","red","62B","5156A","None","None","45","2442F","62X","None","None","38"
"Qualifier #26","2020-01-17T16:27:30Z","red","134J","7121E","None","None","20","404S","134C","None","None","9"
"Qualifier #27","2020-01-17T16:31:00Z","blue","2602H","5150J","None","None","34","977Z","169A","None","None","60"
"Qualifier #28","2020-01-17T16:34:30Z","blue","242B","169X","None","None","1","9421X","1717B","None","None","29"
"Qualifier #29","2020-01-17T16:38:00Z","red","169Z","1898A","None","None","29","9909F","2142E","None","None","21"
"Qualifier #30","2020-01-17T16:41:30Z","red","41364A","9909A","None","None","39","2381Z","1082B","None","None","7"
"Qualifier #31","2020-01-17T16:45:00Z","blue","11442X","4344X","None","None","8","3303X","2442E","None","None","23"
"Qualifier #32","2020-01-17T16:48:30Z","red","63857A","2442A","None","None","74","62K","2142D","None","None","30"
"Qualifier #33","2020-01-17T16:52:00Z","blue","785Z","11442Z","None","None","7","404Y","2616Z","None","None","65"
"Qualifier #34","2020-01-17T16:55:30Z","blue","134D","1898M","None","None","18","25461Z","1353P","None","None","67"
"Qualifier #35","2020-01-17T16:59:00Z","red","10102X","25600S","None","None","34","9909D","785E","None","None","2"
"Qualifier #36","2020-01-17T17:02:30Z","blue","134Z","169E","None","None","0","4478R","40B","None","None","26"
"Qualifier #37","2020-01-17T17:06:00Z","blue","404X","25600H","None","None","1","4478F","242Y","None","None","21"
"Qualifier #38","2020-01-17T17:09:30Z","blue","9909C","25600X","None","None","20","1898R","9909B","None","None","50"
"Qualifier #39","2020-01-17T17:13:00Z","blue","785A","4478Z","None","None","11","62G","2442B","None","None","35"
"Qualifier #40","2020-01-17T17:16:30Z","blue","2602G","4180A","None","None","28","134M","4478V","None","None","40"
"Qualifier #41","2020-01-17T17:20:00Z","blue","4344X","785B","None","None","7","6277B","169X","None","None","18"
"Qualifier #42","2020-01-17T17:23:30Z","red","3303D","41364A","None","None","49","62A","169Z","None","None","19"
"Qualifier #43","2020-01-17T17:27:00Z","blue","11442Z","10102Z","None","None","6","369A","9421X","None","None","58"
"Qualifier #44","2020-01-17T18:30:00Z","blue","5156A","62K","None","None","29","25461Z","4180B","None","None","83"
"Qualifier #45","2020-01-17T18:33:30Z","blue","1353X","7121E","None","None","23","2602H","4478D","None","None","45"
